[-163.62821782 -287.89034398]
[-166.98491787 -208.49866296]
[-168.85675645 -210.79109751]
[-195.01728746 -276.84447247]
[-297.59027651 -196.80073477]
[-221.22131321 -300.55900501]
[-247.98382774 -204.64385311]
[-306.48907302 -271.42501269]
[-182.05912309 -136.18228149]
[-203.85836571 -277.32191359]
[-273.59792525 -153.12132982]
[-184.38669974 -176.48208916]
[-157.49253692 -268.52765984]
[-124.75367317 -268.72716881]
[-196.83901037 -113.66042389]
[-172.84841784 -220.71088652]
[-181.95467192 -171.35464527]
[-306.38275444 -193.63564194]
[-166.87956329 -257.97500576]
[-138.16517674 -264.40211651]
[-241.44072298 -240.84182578]
[ -51.89046322 -210.5608302 ]
[-198.40685217 -208.64733432]
[-257.62457581  -80.26117992]
[-107.40703688 -289.59668461]
[-166.9988691  -223.94531112]
[ -98.8244347  -303.96045734]
[-149.23929044 -258.11732235]
[-294.28533638 -198.72257097]
[-152.80734991 -210.25589109]
[-136.84481417 -190.46631534]
[-135.81245945 -167.79578311]
[-109.73334725 -349.17374927]
[-233.97020191 -298.13972153]
[-238.97831153 -238.84599552]
[-176.3577123  -159.60218289]
[-211.29602534 -183.96375243]
[-212.868147   -166.62167198]
[-196.71257508  -77.09562995]
[-221.05613933 -302.64656443]
[-224.92538236 -179.48821525]
[-207.9592212 -256.4242734]
[-250.01502489 -198.71353199]
[ -93.61401574 -197.96479587]
[-250.99142871 -137.69218688]
[ -37.60990789 -224.68176518]
[-328.48294398 -267.12836939]
[-250.59077133 -224.95889528]
[ -19.0914125  -161.16468105]
[-129.63306339 -221.4628054 ]
[-101.2729666  -192.36013799]
[-331.36602044 -218.64253956]
[-272.20534231 -367.11269871]
[-186.79667991 -139.67926242]
[-200.79991916 -215.91147704]
[-231.27140004 -234.77853174]
[-330.80662601 -177.25473328]
[-162.8117763  -249.39012049]
[-105.12782269 -222.55060219]
[-217.9250497  -144.16545454]
[-181.1791172  -291.42826735]
[-129.55816091 -205.54033829]
[-247.70255439 -230.48165375]
[-213.5561096  -267.38460454]
[-175.30951345 -274.38421977]
[-160.57901882 -192.12197066]
[-166.05590082 -240.98793443]
[ -94.01988875 -277.73920955]
[-310.97889553 -184.16314793]
[-208.67220569 -221.19100159]
[-159.14138115 -122.18839704]
[-182.30540973 -196.97552422]
[-155.92327859 -281.32731252]
[-290.96451902 -220.56483244]
[-200.85631329 -297.83731368]
[-211.93816686 -196.60995609]
[-301.60610404 -216.03796962]
[-272.32793095 -101.29981958]
[-193.48592282 -283.5992276 ]
[-294.74888089 -133.14187766]
[-233.18335499 -259.61246957]
[-297.92394379 -174.37742913]
[-246.52498445 -247.87425543]
[-269.79836511 -174.34698742]
[-148.01376389 -249.03225172]
[-187.79576161 -256.15392826]
[-220.99541582 -226.36108979]
[-273.43081627 -335.79617969]
[-223.77269525 -153.06886152]
[-183.92681103 -123.85790531]
[-100.40726504 -221.46771631]
[-280.89808922 -334.62354284]
[-197.26360256 -192.32555652]
[-175.61348127 -123.22723336]
[-262.73153183 -178.90323503]
[-290.13811231 -211.72367371]
[-121.42677592 -272.42156106]
[-248.11562604 -108.30545956]
[-169.8749009  -278.99674397]
[-174.96874863 -323.282509  ]
[-204.87789768 -114.23836111]
[-262.27066648 -135.38310112]
[-138.43091187 -126.51866672]
[-289.00540846 -226.78456721]
[-271.65138166 -242.25369315]
[-231.49004376 -282.98135906]
[-181.65202221 -147.62642781]
[ -53.90914426 -238.46191508]
[-266.41663944 -255.95079569]
[-270.57524806 -165.64665819]
[-142.41105101 -173.25184933]
[-161.04683197 -130.7895098 ]
[-200.85294374 -206.64637123]
[-297.5144933  -163.54682993]
[-182.73439889 -186.31803304]
[-173.43674015 -180.66157491]
[-158.68811841 -267.81516739]
[-317.97193098 -115.34073413]
[-206.21008513 -225.58809207]
[-134.74849939 -240.50842094]
[-250.28489124 -131.33250034]
[-143.4917956  -228.49668391]
[-138.38800768 -199.33320299]
